isHeading,Artifact Type,module,parentBinding,Name,Primary Text,Description,Within Scope?,Justification
FALSE,Test,Customer,3.1.6.1,DisplayPopulatedOrderHistoryActive,Return a complete order history if user has active orders.,Provide personalized profile,TRUE,Test case
FALSE,Test,Customer,3.1.6.1,DisplayPopulatedOrderHistoryCompleted,Return a complete order history if user has completed orders.,Provide personalized profile,TRUE,Test case
FALSE,Requirement,Customer,3.1.6,3.1.6.2,The system shall allow user to select the order from the order history.,Provide personalized profile,FALSE,GUI
FALSE,Requirement,Customer,3.1.6,3.1.6.3,The system shall display the detailed information about the selected order.,Provide personalized profile,TRUE,Web API
FALSE,Test,Customer,3.1.6.3,DisplayOrderDetailsForValidOrder,Returns the full order details,Provide personalized profile,TRUE,Test case
FALSE,Test,Customer,3.1.6.3,DisplayErrorForInvalidOrder,Indicates an error if the order doesn't exist.,Provide personalized profile,TRUE,Test case
FALSE,Requirement,Customer,3.1.6,3.1.6.4,The system shall display the most frequently searched items by the user in the profile.,Provide personalized profile,FALSE,"dynamic, stateful"
FALSE,Requirement,Customer,3.1.6,3.1.6.5,The system shall allow user to register for newsletters and surveys in the profile.,Provide personalized profile,TRUE,Web API
FALSE,Test,Customer,3.1.6.5,RegisterForNewsletters,User may update profile to register for the newsletters.,Provide personalized profile,TRUE,Test case
FALSE,Test,Customer,3.1.6.5,RegisterForSurveys,User may update profile to register for the surveys.,Provide personalized profile,TRUE,Test case
TRUE,Header,Support,3.1,3.1.7,Provide Customer Support,Provide Customer Support,TRUE,Header
FALSE,Requirement,Support,3.1.7,3.1.7.1,"The system shall provide online help, FAQ’s customer support, and sitemap options for customer support.",Provide Customer Support,TRUE,Web API
FALSE,Test,Support,3.1.7.1,GeneralHelpRequested,Displays help information.,Provide Customer Support,TRUE,Test case
FALSE,Requirement,Support,3.1.7,3.1.7.2,The system shall allow user to select the support type he wants.,Provide Customer Support,FALSE,GUI
FALSE,Requirement,Support,3.1.7,3.1.7.3,The system shall allow user to enter the customer and product information for the support.,Provide Customer Support,TRUE,Web API
FALSE,Test,Support,3.1.7.3,SupportAPI,Customer can invoke the stubbed Support API with customer and product information.,Provide Customer Support,TRUE,Test case
FALSE,Requirement,Support,3.1.7,3.1.7.4,The system shall display the customer support contact numbers on the screen.,Provide Customer Support,TRUE,Web API
FALSE,Test,Support,3.1.7.4,ContactNumbersRequested,Displays customer support numbers.,Provide Customer Support,TRUE,Test case
FALSE,Requirement,Support,3.1.7,3.1.7.5,The system shall allow user to enter the contact number for support personnel to call.,Provide Customer Support,TRUE,Web API
FALSE,Test,Support,3.1.7.5,CallbackNumberInProfile,The user may include a callback number in the profile.,Provide Customer Support,TRUE,Test case
FALSE,Requirement,Support,3.1.7,3.1.7.6,The system shall display the online help upon request.,Provide Customer Support,TRUE,Web API
FALSE,Test,Support,3.1.7.6,DetailedHelpRequested,Displays help information.,Provide Customer Support,TRUE,Test case
